tag,cond,algo,profile,rep,delay_ms,t_sim_s,eta_pct,eta_tick_pct,t_settle_ms,sigma_ss_pct,n_req,n_fail,rtt_mean_ms,rtt_p50_ms,rtt_p99_ms,timeout_s,wall_s
C_po_P2_r2,C,po,P2,2,0,10,97.9685,97.9706,0,2.2128,142,9,41.7349,32.5042,190.051,0.5,677.376
C_po_P2_r3,C,po,P2,3,0,10,90.4777,90.4793,2,2.67316,202,7,34.3227,29.2349,92.1262,0.5,558.059
C_po_P2_r4,C,po,P2,4,0,10,87.2168,87.2184,0,5.09935,173,6,40.0188,34.3452,118.18,0.5,460.371
C_po_P2_r5,C,po,P2,5,0,10,86.1478,86.149,0,0.935764,93,10,55.9832,38.8034,295.065,0.5,555.579
C_po_P3_r1,C,po,P3,1,0,10,95.3267,95.3281,0,4.35057,116,5,66.0825,39.5141,348.058,0.5,791.05
C_po_P3_r2,C,po,P3,2,0,10,98.3492,98.3506,0,3.73493,235,4,34.1042,31.47,80.7726,0.5,477.603
C_po_P3_r3,C,po,P3,3,0,10,96.2982,96.3003,0,5.33022,158,10,32.0706,26.2908,151.306,0.5,552.804
C_po_P3_r4,C,po,P3,4,0,10,84.427,84.4275,0,5.795,161,8,40.0136,31.0676,195.893,0.5,604.886
C_po_P3_r5,C,po,P3,5,0,10,90.5703,90.5716,3087,7.92444,105,10,52.4002,47.1862,270.209,0.5,540.972
C_pso_P1_r1,C,pso,P1,1,0,10,96.0345,96.0356,,3.06582,337,0,29.4565,23.7158,144.125,0.5,1939.08
C_pso_P1_r2,C,pso,P1,2,0,10,72.7835,72.785,,26.4818,189,8,31.9573,22.289,131.829,0.5,891.082
C_pso_P1_r3,C,pso,P1,3,0,10,93.8247,93.8258,,1.15553,173,8,34.6815,25.9135,182.583,0.5,626.676
C_pso_P1_r4,C,pso,P1,4,0,10,95.1378,95.139,,2.2342,214,3,39.3091,32.7401,125.883,0.5,483.773
C_pso_P1_r5,C,pso,P1,5,0,10,91.3245,91.3256,,4.11712,259,4,30.8901,25.2134,94.7664,0.5,559.798
C_pso_P2_r1,C,pso,P2,1,0,10,95.0728,95.0746,0,1.41994,195,7,33.7462,28.7258,98.9007,0.5,1056.15
C_pso_P2_r2,C,pso,P2,2,0,10,94.2375,94.2393,0,9.26225,230,3,36.755,31.1236,114.131,0.5,535.527
C_pso_P2_r3,C,pso,P2,3,0,10,82.8923,82.8935,11.5,2.94634,128,11,36.1824,27.1061,117.297,0.5,687.02
C_pso_P2_r4,C,pso,P2,4,0,10,90.6138,90.6153,0,2.69731,139,8,43.5869,36.2276,100.145,0.5,577.364
C_pso_P2_r5,C,pso,P2,5,0,10,92.4718,92.4735,530.5,2.39239,207,6,33.8576,27.9777,110.139,0.5,577.49
C_pso_P3_r1,C,pso,P3,1,0,10,94.3746,94.3758,139.5,2.44493,244,3,34.4288,25.2641,135.168,0.5,754.48
C_pso_P3_r2,C,pso,P3,2,0,10,92.8849,92.886,205,4.64152,220,3,38.5144,28.5067,184.634,0.5,549.766
C_pso_P3_r3,C,pso,P3,3,0,10,95.2431,95.2443,0,3.68396,166,6,42.186,30.7598,333.249,0.5,606.401
C_pso_P3_r4,C,pso,P3,4,0,10,80.3979,80.3981,2235,4.04644,120,9,49.1305,36.6814,250.748,0.5,594.637
C_pso_P3_r5,C,pso,P3,5,0,10,90.4446,90.4455,2,7.18412,131,10,38.9111,28.4052,235.791,0.5,544.906
D_po_P1_r1,D,po,P1,1,0,10,95.0445,95.0457,,3.31967,351,0,28,28,28,0.5,1036.32
D_po_P1_r2,D,po,P1,2,0,10,95.0445,95.0457,,3.31967,351,0,28,28,28,0.5,1002.39
D_po_P1_r3,D,po,P1,3,0,10,95.0445,95.0457,,3.31967,351,0,28,28,28,0.5,999.8
D_po_P1_r4,D,po,P1,4,0,10,95.0445,95.0457,,3.31967,351,0,28,28,28,0.5,1004.4
D_po_P1_r5,D,po,P1,5,0,10,95.0445,95.0457,,3.31967,351,0,28,28,28,0.5,1000.78
D_po_P2_r1,D,po,P2,1,0,10,93.8349,93.8367,0,3.74175,351,0,28,28,28,0.5,1108.5
D_po_P2_r2,D,po,P2,2,0,10,93.8349,93.8367,0,3.74175,351,0,28,28,28,0.5,1053.99
D_po_P2_r3,D,po,P2,3,0,10,93.8349,93.8367,0,3.74175,351,0,28,28,28,0.5,1053.33
D_po_P2_r4,D,po,P2,4,0,10,93.8349,93.8367,0,3.74175,351,0,28,28,28,0.5,1057.98
D_po_P2_r5,D,po,P2,5,0,10,93.8349,93.8367,0,3.74175,351,0,28,28,28,0.5,1009.29
D_po_P3_r1,D,po,P3,1,0,10,97.995,97.9964,81,3.39733,351,0,28,28,28,0.5,1061.42
D_po_P3_r2,D,po,P3,2,0,10,97.995,97.9964,81,3.39733,351,0,28,28,28,0.5,1030.86
D_po_P3_r3,D,po,P3,3,0,10,97.995,97.9964,81,3.39733,351,0,28,28,28,0.5,1029.71
D_po_P3_r4,D,po,P3,4,0,10,97.995,97.9964,81,3.39733,351,0,28,28,28,0.5,1030.04
D_po_P3_r5,D,po,P3,5,0,10,97.995,97.9964,81,3.39733,351,0,28,28,28,0.5,968.896
D_pso_P1_r1,D,pso,P1,1,0,10,95.6698,95.671,,0.996156,351,0,28,28,28,0.5,1068.07
D_pso_P1_r2,D,pso,P1,2,0,10,96.5366,96.5378,,1.00324,351,0,28,28,28,0.5,1031.1
D_pso_P1_r3,D,pso,P1,3,0,10,95.3955,95.3967,,0.992328,351,0,28,28,28,0.5,1030.02
D_pso_P1_r4,D,pso,P1,4,0,10,95.4907,95.4919,,1.00523,351,0,28,28,28,0.5,1029.78
D_pso_P1_r5,D,pso,P1,5,0,10,95.8411,95.8423,,0.993984,351,0,28,28,28,0.5,1012.9
D_pso_P2_r1,D,pso,P2,1,0,10,93.9807,93.9824,0,1.15214,351,0,28,28,28,0.5,1131.77
D_pso_P2_r2,D,pso,P2,2,0,10,95.0734,95.0752,0,3.30946,351,0,28,28,28,0.5,1095.22
D_pso_P2_r3,D,pso,P2,3,0,10,93.481,93.4827,0,1.19359,351,0,28,28,28,0.5,1094.63
D_pso_P2_r4,D,pso,P2,4,0,10,94.4728,94.4746,0,2.41619,351,0,28,28,28,0.5,1100.14
D_pso_P2_r5,D,pso,P2,5,0,10,94.5363,94.5381,0,2.92367,351,0,28,28,28,0.5,1019.5
D_pso_P3_r1,D,pso,P3,1,0,10,93.65,93.6511,14.5,2.57064,351,0,28,28,28,0.5,1095.32
D_pso_P3_r2,D,pso,P3,2,0,10,94.296,94.2973,24,4.36996,351,0,28,28,28,0.5,1058.73
D_pso_P3_r3,D,pso,P3,3,0,10,93.5207,93.5218,16,2.0322,351,0,28,28,28,0.5,1056.83
D_pso_P3_r4,D,pso,P3,4,0,10,94.2401,94.2413,14.5,2.06614,351,0,28,28,28,0.5,1051.81
D_pso_P3_r5,D,pso,P3,5,0,10,94.1056,94.1068,43,3.41258,351,0,28,28,28,0.5,972.985
