ok,rtt_ms,t_us,t_loc_us,heap,k,vpv,ipv,vref,vref_port
1,33.578599999600556,39,958,178544,117,12.741964,3.315034,11.71739,
1,64.8289000018849,21,727,178516,118,13.57788,4.232547,14.51853,
1,51.998200004163664,21,661,178488,119,15.910768,4.954781,13.92049,
1,36.5382000018144,39,844,178508,120,13.463547,4.852077,12.67979,
1,47.60019999957876,59,959,178552,121,18.407336,2.925042,12.52999,
1,27.470100001664832,21,763,178488,122,18.508273,3.411396,12.00648,
1,25.19360000587767,21,805,178468,123,17.240969,4.654763,12.13035,
1,64.58079999720212,21,647,178480,124,12.522163,4.339953,11.75467,
1,45.4643000048236,38,950,178544,125,15.054518,2.302182,12.14808,
1,66.37359999876935,40,651,178472,126,19.952214,4.124762,12.52999,
1,43.48200000094948,21,769,178692,127,15.884281,2.690514,12.88161,
1,48.67050000029849,39,1047,178544,128,19.020231,1.347259,12.04932,
1,25.51089999906253,21,547,178496,129,17.66735,4.156618,12.89659,
1,64.27859999530483,38,988,178552,130,18.393571,2.289147,12.16115,
1,24.567899999965448,60,978,178544,131,18.373113,1.901314,12.52999,
1,30.37400000175694,21,814,178500,132,14.898464,2.669792,11.82461,
1,48.470500005350914,38,895,178576,133,16.33128,1.450455,15.64932,
1,23.929700000735465,21,725,178500,134,15.255582,1.001203,13.95292,
1,34.39950000029057,21,734,178496,135,17.955046,4.407504,12.84629,
1,60.432599995692726,35,862,178692,136,13.111453,3.815143,12.52999,
1,39.94510000484297,21,734,178496,137,18.568825,4.927313,12.508,
1,44.99529999884544,38,1026,178552,138,18.750324,2.696426,14.18337,
1,35.83939999953145,38,876,178544,139,19.83751,4.895938,11.6549,
1,49.38720000063768,21,762,178676,140,16.029416,4.013786,12.35955,
1,57.899499995983206,60,1006,178532,141,19.310701,2.904588,12.52999,
1,20.69370000390336,38,941,178544,142,18.91029,3.806274,12.28211,
1,54.643199997371994,21,763,178464,143,14.351394,4.070609,11.09563,
1,27.317400003084913,38,1029,178524,144,16.565478,1.375381,11.80983,
1,20.212900002661627,38,950,178536,145,15.131043,1.294964,12.33425,
1,53.509900004428346,36,836,178684,146,15.809336,2.714158,12.52999,
1,44.73839999991469,38,865,178512,147,15.3899,3.345201,12.38855,
1,60.287400003289804,39,1011,178536,148,12.981525,4.735076,14.69563,
1,42.92550000536721,38,988,178504,149,17.472404,4.295125,14.6277,
1,94.87079999962589,21,729,178692,150,19.17441,3.33328,12.33258,
1,37.041299998236354,35,760,178500,151,12.321746,3.845947,12.52999,
1,25.059599996893667,78,1104,178536,152,16.552207,4.303829,12.52999,
1,24.261400001705624,39,955,178536,153,16.257284,4.252976,10.4,
1,42.45749999972759,38,1028,178536,154,19.976082,2.402219,14.0,
1,30.605799998738803,21,720,178664,155,13.368172,2.566699,17.6,
1,21.319999999832362,26,778,178508,156,18.0244,2.756916,21.2,
1,27.516399997693952,52,798,178696,157,16.707041,1.509434,12.52999,
1,64.14229999791132,39,1020,178528,158,17.808988,2.12033,13.79936,
