ok,rtt_ms,t_us,t_loc_us,heap,k,vpv,ipv,vref,vref_port
1,67.04610000087996,12,1663,182348,294,12.669923,2.292215,17.73382,
1,70.0672000002669,91,1610,182336,295,19.42047,2.89047,17.33919,
1,95.78529999998864,12,1617,182340,296,19.163791,2.8387,11.1308,
1,78.6071999991691,12,1625,182352,297,18.040945,2.940509,17.93012,
1,69.8218999987148,11,1618,182340,298,17.669618,2.268717,17.38804,
1,68.80799999998999,11,1542,182328,299,19.118922,2.062832,17.08224,
1,70.19109999964712,91,1774,182340,300,12.049415,3.884663,17.33919,
1,70.8587000008265,12,1694,182328,301,17.412836,3.627606,14.7308,
1,68.40630000078818,12,1572,182348,302,17.49932,3.345057,17.53361,
1,69.02620000073512,12,1696,182328,303,12.922232,3.676815,17.27572,
1,71.93089999964286,12,1302,182340,304,12.052788,1.731372,17.81089,
1,76.22259999880043,91,1704,182328,305,15.367027,2.513478,17.33919,
1,99.7202999988076,19,599,182260,306,12.951721,2.70783,17.33919,
1,101.05499999917811,13,1581,182364,307,16.988938,2.509854,10.4,
1,76.73179999983404,13,1582,182352,308,17.667996,1.923688,14.0,
1,76.33480000004056,13,1619,182332,309,13.150602,3.995599,17.6,
1,78.03039999998873,13,1627,182348,310,17.349825,2.717483,21.2,
1,69.47450000006938,91,1742,182344,311,13.094138,3.654735,17.33919,
1,70.70240000030026,11,1614,182348,312,17.999646,1.655771,11.46046,
1,70.90460000108578,12,1585,182344,313,17.514414,2.422548,17.6,
1,69.3967999995948,12,1567,182348,314,19.320949,4.006159,17.30436,
1,53.934199999275734,12,1652,182344,315,14.189849,4.752105,20.77213,
1,73.49929999872984,91,1252,182336,316,12.201862,1.739296,17.33919,
1,71.20490000124846,0,682,182324,317,13.935224,3.92832,15.06046,
1,68.04939999892667,12,1627,182348,318,16.209344,2.857502,19.27494,
1,102.01380000034987,12,1627,182348,319,13.780267,4.025868,17.17082,
1,72.664999999688,12,1662,182328,320,12.936851,1.989365,18.49242,
1,70.46900000023015,91,1614,182352,321,18.450883,2.80419,17.33919,
1,68.98120000005292,13,1677,182368,322,19.014542,3.406656,16.99804,
1,71.19449999845529,12,1666,182352,323,18.316357,1.749613,17.40977,
1,68.11340000058408,11,1583,182344,324,14.529775,2.506824,17.5216,
1,72.50550000026124,12,1596,182368,325,15.953594,2.889868,17.15973,
1,70.1511000006576,90,1625,182344,326,18.579729,1.692762,17.33919,
1,66.86970000009751,12,1700,182348,327,18.811887,4.556185,14.73825,
1,71.75879999886092,12,1566,182352,328,12.604152,1.037561,16.5993,
1,69.74470000022848,12,1595,182328,329,14.342024,2.602979,17.07301,
1,69.40469999972265,11,1698,182328,330,19.763595,1.285634,19.21381,
1,73.08450000164157,91,1763,182344,331,18.250442,2.9017,17.33919,
1,70.12750000103551,11,1698,182328,332,13.038988,2.464321,14.29985,
1,68.33410000035656,11,1584,182344,333,15.047211,1.97429,18.16229,
1,85.38749999934225,12,1595,182352,334,14.35491,2.679675,17.19552,
1,73.99329999861948,11,1596,182344,335,19.698091,2.835442,16.73154,
