ok,rtt_ms,t_us,t_loc_us,heap,k,vpv,ipv,vref,vref_port
1,34.35149999859277,21.0,652.0,183464.0,167,13.306945,4.533675,17.1,17.1
1,30.923600003006868,29.0,752.0,183484.0,168,18.31398,3.227342,16.1,16.1
1,92.03929999785032,20.0,721.0,183444.0,169,13.779627,3.23099,17.1,17.1
1,34.71729999728268,29.0,739.0,183468.0,170,12.097172,3.851975,18.1,18.1
1,25.478000003204215,21.0,796.0,183456.0,171,17.734005,3.58418,19.1,19.1
1,24.628600003779866,29.0,788.0,183468.0,172,16.890709,1.294866,18.1,18.1
1,30.298500001663342,21.0,582.0,183464.0,173,13.971248,3.297512,17.1,17.1
1,23.484299999836367,52.0,861.0,183452.0,174,15.153494,4.968093,16.1,16.1
1,32.98479999648407,20.0,640.0,183452.0,175,19.389963,1.608032,17.1,17.1
1,102.67759999987902,29.0,632.0,183456.0,176,16.719685,3.78486,18.1,18.1
1,60.99730000278214,20.0,726.0,183472.0,177,13.092347,2.250383,17.1,17.1
1,29.261999996379018,28.0,823.0,183480.0,178,17.727343,4.604432,16.1,16.1
1,44.19380000035744,21.0,653.0,183452.0,179,14.733941,1.955775,17.1,17.1
1,57.56140000448795,28.0,830.0,183448.0,180,18.574336,3.339931,18.1,18.1
1,27.03979999932926,38.0,663.0,183460.0,181,15.812707,2.0246,17.1,17.1
1,61.80730000050971,29.0,855.0,183460.0,182,12.581267,1.071566,18.1,18.1
1,30.853999996907078,21.0,754.0,183484.0,183,16.639761,1.764441,19.1,19.1
1,28.245800000149757,28.0,630.0,183460.0,184,19.804264,1.429909,18.1,18.1
1,34.94440000213217,21.0,691.0,183488.0,185,15.61671,2.578639,17.1,17.1
1,34.710899999481626,61.0,693.0,183472.0,186,13.858492,3.995023,16.1,16.1
1,55.419699994672555,38.0,777.0,183496.0,187,17.149638,3.903031,15.1,15.100000000000001
1,58.99409999983618,28.0,839.0,183468.0,188,12.662469,2.410974,16.1,16.1
1,80.74119999946561,21.0,798.0,183456.0,189,16.158665,2.706885,17.1,17.1
1,24.156800005584955,29.0,625.0,183464.0,190,12.32494,1.77611,16.1,16.1
1,79.14019999589073,21.0,632.0,183440.0,191,19.560197,1.650279,15.1,15.100000000000001
1,68.8977999961935,43.0,928.0,183448.0,192,18.816419,4.288549,14.1,14.100000000000001
1,29.373700002906844,29.0,697.0,183456.0,193,15.13035,2.867134,15.1,15.100000000000001
1,75.90450000134297,28.0,686.0,183480.0,194,18.592014,3.722745,16.1,16.1
1,28.84039999480592,20.0,670.0,183460.0,195,18.69555,4.030386,17.1,17.1
1,23.462000004656147,33.0,823.0,183452.0,196,17.530172,4.651896,18.1,18.1
1,58.995799998228904,38.0,760.0,183456.0,197,18.582457,1.716251,17.1,17.1
1,37.83300000213785,29.0,811.0,183436.0,198,17.985794,1.346725,18.1,18.1
1,27.51150000403868,38.0,736.0,183464.0,199,15.40685,2.587008,19.1,19.1
1,35.833200003253296,29.0,690.0,183436.0,200,13.617345,4.75162,20.1,20.1
1,37.89889999461593,21.0,700.0,183460.0,201,12.758213,1.019598,19.1,19.1
1,61.647499998798594,29.0,848.0,183428.0,202,14.583366,4.962979,18.1,18.1
1,91.40079999633599,20.0,760.0,183460.0,203,14.117561,4.322777,19.1,19.1
1,31.722600004286505,55.0,912.0,183396.0,204,13.384909,3.345513,18.1,18.1
1,52.474700001766905,38.0,965.0,183484.0,205,19.667275,3.866053,17.1,17.1
1,54.593700006080326,29.0,626.0,183444.0,206,19.844064,3.298227,18.1,18.1
1,84.67380000365665,20.0,661.0,183464.0,207,19.866678,4.348188,19.1,19.1
1,87.02930000436027,29.0,777.0,183468.0,208,18.225986,4.55396,18.1,18.1
1,46.1150000046473,20.0,811.0,183480.0,209,17.051932,2.425458,19.1,19.1
1,100.35110000171699,53.0,814.0,183468.0,210,16.22626,1.906002,18.1,18.1
1,71.5968000004068,38.0,831.0,183464.0,211,18.220353,1.680314,19.1,19.1
1,97.53289999935078,29.0,708.0,183476.0,212,16.617584,3.143596,20.1,20.1
1,41.355100001965184,21.0,768.0,183480.0,213,17.375222,4.041946,21.1,21.1
1,364.6017999999458,28.0,844.0,183092.0,214,12.878623,3.499764,20.1,20.1
1,83.3178000029875,21.0,660.0,183068.0,215,15.311647,3.456806,19.1,19.1
1,28.994199994485825,29.0,786.0,181008.0,216,17.551876,3.341918,18.1,18.1
1,2186.0786999968695,21.0,862.0,181016.0,217,17.863089,3.080101,19.1,19.1
1,3470.4905999969924,55.0,1053.0,181444.0,218,15.702942,2.147075,18.1,18.1
0,5096.031599998241,,,,219,13.833213,3.781208,,17.1
1,951.0477000003448,33.0,849.0,179220.0,220,17.565691,1.78193,18.1,18.1
1,53.691799999796785,38.0,948.0,179276.0,221,19.774699,3.684603,19.1,19.1
1,35.76410000096075,54.0,1028.0,179256.0,222,16.249729,4.364701,18.1,18.1
1,19.592199998442084,26.0,775.0,179408.0,223,15.892163,2.903779,19.1,19.1
1,46.73770000226796,29.0,796.0,179416.0,224,14.066195,1.624542,18.1,18.1
1,2310.6829000025755,21.0,581.0,179248.0,225,17.692965,4.376444,17.1,17.1
1,56.88950000330806,28.0,754.0,181192.0,226,17.42239,2.475286,18.1,18.1
1,32.12550000171177,20.0,725.0,181384.0,227,16.605777,3.25365,19.1,19.1
1,28.00849999766797,55.0,1029.0,181236.0,228,19.492529,2.550697,18.1,18.1
1,39.06460000143852,38.0,936.0,181224.0,229,13.318261,4.507732,17.1,17.1
1,47.76850000052946,29.0,783.0,181384.0,230,19.157828,1.193062,18.1,18.1
1,81.10260000103153,21.0,716.0,181192.0,231,13.585792,3.545135,19.1,19.1
1,20.407399999385234,29.0,767.0,181384.0,232,18.310761,3.42677,20.1,20.1
1,46.31859999790322,38.0,924.0,181228.0,233,13.532714,1.470566,19.1,19.1
1,47.22599999513477,28.0,781.0,181196.0,234,16.047781,4.262042,18.1,18.1
1,62.806100002489984,21.0,741.0,181196.0,235,13.736537,1.300531,19.1,19.1
1,26.000100006058346,54.0,940.0,181232.0,236,16.40836,1.767269,20.1,20.1
1,45.22819999692729,20.0,746.0,181172.0,237,12.53939,4.093058,21.1,21.1
1,28.89090000098804,54.0,847.0,181176.0,238,18.569813,2.593342,20.1,20.1
1,39.80339999543503,21.0,730.0,181200.0,239,14.352611,2.108484,21.1,21.1
1,37.43950000352925,28.0,626.0,181192.0,240,14.887771,3.307631,22.1,22.1
1,71.23899999714922,40.0,949.0,181252.0,241,16.222561,2.421397,21.1,21.1
1,50.89650000445545,54.0,1017.0,181260.0,242,17.099368,3.70307,20.1,20.1
1,33.76469999784604,21.0,724.0,181372.0,243,16.466232,2.54918,21.1,21.1
1,2228.3290999985184,28.0,789.0,181188.0,244,16.991222,3.367611,22.1,22.1
